1,Getou,0,1530.0,3500.0,79.5,77.2,72.0,0,3
2,Gojo,0,2250.0,8900.0,82.5,84.0,63.8,0,1
3,Yuta,0,6000.0,1800.0,73.8,74.2,49.8,0,2
4,Nanami,1,1040.0,3500.0,80.7,77.8,45.2,0,12
5,Toji,1,40000.0,1400.0,67.9,74.1,78.8,0,0
6,Itadori,1,2000.0,5050.0,57.0,64.2,38.8,0,13
7,Megume,3,500.0,105.0,41.0,45.3,35.6,0,5
8,DeuCerto,3,4,1000,22.5,34.0,43.8,0,9
9,Maldição,0,4000.0,300.0,82.5,53.0,63.8,1,10
10,Nobara,2,2587.71929824561404,46.0,43.9,24.3,23.1,0,4
11,Lori,2,20000.0,14399.0,82.5,84.0,63.8,0,1
12,Maldição,3,1000.0,0.0,40.0,58.0,30.0,1,9
13,Maldição3,2,2000.0,7220.0,76.57894736842105,54.0,30.0,1,10
14,Mahito,0,3500.0,400.0,65.9,52.0,35.0,1,14
15,Jogo,0,3000.0,200.0,56.0,43.0,30.0,1,9
16,Hanami,0,3600.0,400.0,63.0,52.0,60.0,1,10
17,Maldição,4,3000.0,100.0,52.0,30.0,30.0,1,16
